排名,股票代码,股票名称,资产垫等级,保守资产垫比率,宽松资产垫比率,自由现金流(元),资本开支率,兑现路径,资产垫得分,经营安全得分,兑现安全得分,综合评分,资产垫连续加分,经营安全连续调整,兑现安全连续加分,次级排序得分,评分模式
1,00050,香港小轮（集团）,T1,0.8433,1.0060,"69,700,584",0.1036,EARNINGS_RECOVERY,70.20,100.00,64.48,77.42,0.20,11.89,4.48,0.3196,continuous
2,00032,港通控股,T2,0.6933,0.8920,"71,560,314",0.2566,EARNINGS_RECOVERY,40.00,100.00,62.81,64.84,-0.00,7.30,2.81,0.2725,continuous
3,00046,科联系统,T1,0.5520,1.0375,"35,777,447",0.0871,NONE,70.09,100.00,0.00,58.04,0.09,12.39,0.00,0.2660,continuous
4,00027,银河娱乐,FAIL,-0.0118,0.0812,"16,019,229,019",0.2443,EARNINGS_RECOVERY,0.00,100.00,60.85,48.25,0.00,7.67,0.85,0.0122,continuous
5,00034,九龙建业,FAIL,-3.1790,-2.7193,"1,372,466,274",0.0415,EARNINGS_RECOVERY,0.00,100.00,60.46,48.14,0.00,13.76,0.46,0.0000,continuous
6,00016,新鸿基地产,FAIL,-0.3919,-0.2059,"43,013,945,650",0.2386,EARNINGS_RECOVERY,0.00,100.00,60.05,48.02,0.00,7.84,0.05,0.0000,continuous
7,00018,东方传媒集团,T2,0.5274,0.7260,"121,659,447",0.0481,NONE,40.00,100.00,0.00,46.00,-0.00,13.56,0.00,0.2144,continuous
8,00029,达力集团,T2,-2.4693,0.1499,"11,165,916",0.1330,NONE,40.00,100.00,0.00,46.00,-0.00,11.01,0.00,0.0225,continuous
9,00057,震雄集团,T2,-0.6625,0.4713,"-25,149,886",N/A,EARNINGS_RECOVERY,40.00,0.00,62.51,34.75,-0.00,0.00,2.51,0.0707,continuous
10,00048,中国汽车内饰,T2,-0.2286,0.0605,"8,990,000",N/A,NONE,40.00,50.00,0.00,31.00,-0.00,-0.00,0.00,0.0091,continuous
11,00026,中华汽车,FAIL,0.4665,0.4992,"4,965,568",0.0503,NONE,0.00,100.00,0.00,30.00,0.00,13.49,0.00,0.1682,continuous
12,00052,大快活集团,FAIL,-1.6244,0.9669,"699,168,307",0.2919,NONE,0.00,100.00,0.00,30.00,0.00,6.24,0.00,0.1450,continuous
13,00038,第一拖拉机股份,FAIL,-0.5170,0.1551,"1,108,644,195",0.2107,NONE,0.00,100.00,0.00,30.00,0.00,8.68,0.00,0.0233,continuous
14,00004,九龙仓集团,FAIL,-0.2676,0.0200,"3,954,297,160",0.0896,NONE,0.00,100.00,0.00,30.00,0.00,12.31,0.00,0.0030,continuous
