排名,股票代码,股票名称,资产垫等级,保守资产垫比率,宽松资产垫比率,自由现金流(元),资本开支率,兑现路径,资产垫得分,经营安全得分,兑现安全得分,综合评分
21,002736,国信证券,FAIL,-2.8649,1.4025,"9,985,610,545",0.0076,DIVIDEND,0,100,100,60.00
22,300498,温氏股份,FAIL,-0.4541,-0.0294,"1,289,053,751",0.0000,DIVIDEND,0,100,100,60.00
23,300628,亿联网络,FAIL,0.0036,0.0206,"253,265,357",0.0000,DIVIDEND,0,100,100,60.00
24,300760,迈瑞医疗,FAIL,0.0156,0.0915,"1,381,035,479",0.0000,DIVIDEND,0,100,100,60.00
25,300896,爱美客,FAIL,0.0259,0.0456,"252,020,540",0.0000,DIVIDEND,0,100,100,60.00
26,300979,华利集团,FAIL,-0.0303,0.0530,"499,717,500",0.0000,DIVIDEND,0,100,100,60.00
27,600000,浦发银行,FAIL,-31.3299,-3.5375,"87,212,000,000",0.0492,DIVIDEND,0,100,100,60.00
28,600018,上港集团,FAIL,-0.2540,-0.0314,"3,336,656,591",0.0000,DIVIDEND,0,100,100,60.00
29,600019,宝钢股份,FAIL,-0.8618,0.0740,"4,417,351,113",0.0000,DIVIDEND,0,100,100,60.00
30,600027,华电国际,FAIL,-2.4090,-1.7202,"5,642,927,000",0.0000,DIVIDEND,0,100,100,60.00
31,600036,招商银行,FAIL,-12.8425,-0.1501,"120,425,000,000",0.0431,DIVIDEND,0,100,100,60.00
32,600048,保利发展,FAIL,-9.6590,-1.8883,"8,673,121,745",0.0000,DIVIDEND,0,100,100,60.00
33,600050,中国联通,FAIL,-1.7232,0.2205,"7,543,904,777",0.0000,DIVIDEND,0,100,100,60.00
34,600066,宇通客车,FAIL,-0.1586,0.0807,"3,493,731,164",0.0000,DIVIDEND,0,100,100,60.00
35,600085,同仁堂,FAIL,0.0416,0.2435,"942,499,765",0.0000,DIVIDEND,0,100,100,60.00
36,600104,上汽集团,FAIL,-2.8801,0.5282,"31,985,407,377",0.0000,DIVIDEND,0,100,100,60.00
37,600188,兖矿能源,FAIL,-1.1368,-0.2838,"6,182,253,000",0.0000,DIVIDEND,0,100,100,60.00
38,600219,南山铝业,FAIL,0.2211,0.3596,"1,052,313,843",0.0000,DIVIDEND,0,100,100,60.00
39,600377,宁沪高速,FAIL,-0.6829,-0.4661,"1,715,592,952",0.0000,DIVIDEND,0,100,100,60.00
40,600426,华鲁恒升,FAIL,-0.1649,-0.0898,"890,668,396",0.0000,DIVIDEND,0,100,100,60.00
41,600519,贵州茅台,FAIL,0.0060,0.0292,"26,909,891,269",0.0000,DIVIDEND,0,100,100,60.00
42,600585,海螺水泥,FAIL,-0.0593,0.1618,"325,689,774",0.0000,DIVIDEND,0,100,100,60.00
43,600600,青岛啤酒,FAIL,-0.0810,0.1573,"2,996,964,504",0.0000,DIVIDEND,0,100,100,60.00
44,600660,福耀玻璃,FAIL,-0.0923,0.0302,"357,002,919",0.0000,DIVIDEND,0,100,100,60.00
45,600674,川投能源,FAIL,-0.3008,-0.2099,"233,747,899",0.0000,DIVIDEND,0,100,100,60.00
46,600690,海尔智家,FAIL,-0.5741,0.0647,"1,611,474,494",0.0000,DIVIDEND,0,100,100,60.00
47,600741,华域汽车,FAIL,-1.4649,0.4399,"5,197,555,513",0.0000,DIVIDEND,0,100,100,60.00
48,600795,国电电力,FAIL,-4.1716,-2.5919,"8,853,648,704",0.0000,DIVIDEND,0,100,100,60.00
49,600803,新奥股份,FAIL,-0.9033,-0.1772,"9,450,000",0.0000,DIVIDEND,0,100,100,60.00
50,600809,山西汾酒,FAIL,-0.0394,0.0781,"8,253,609,930",0.0000,DIVIDEND,0,100,100,60.00
51,600845,宝信软件,FAIL,-0.0939,0.0519,"539,237,654",0.0000,DIVIDEND,0,100,100,60.00
52,600886,国投电力,FAIL,-1.5340,-1.0990,"6,878,714,894",0.0000,DIVIDEND,0,100,100,60.00
53,600887,伊利股份,FAIL,-0.4209,-0.2276,"3,734,648,413",0.0000,DIVIDEND,0,100,100,60.00
54,600900,长江电力,FAIL,-0.4750,-0.3078,"11,710,663,091",0.0000,DIVIDEND,0,100,100,60.00
55,600919,江苏银行,FAIL,-25.4684,-3.7887,"300,742,495,000",0.0030,DIVIDEND,0,100,100,60.00
56,600938,中国海油,FAIL,-0.0378,0.1088,"55,148,000,000",0.0000,DIVIDEND,0,100,100,60.00
57,600941,中国移动,FAIL,-0.2455,0.0922,"71,447,000,000",0.0000,DIVIDEND,0,100,100,60.00
58,600958,东方证券,FAIL,-3.6088,1.6477,"11,176,318,316",0.0080,DIVIDEND,0,100,100,60.00
59,600999,招商证券,FAIL,-3.6343,0.9789,"19,528,031,652",0.0083,DIVIDEND,0,100,100,60.00
60,601006,大秦铁路,FAIL,-0.0390,0.1390,"694,558,501",0.0000,DIVIDEND,0,100,100,60.00
61,601009,南京银行,FAIL,-21.5523,-3.2218,"33,116,988,000",0.0024,DIVIDEND,0,100,100,60.00
62,601058,赛轮轮胎,FAIL,-0.4604,-0.1645,"176,000,013",0.0000,DIVIDEND,0,100,100,60.00
63,601077,渝农商行,FAIL,-20.6998,-2.0706,"85,220,071,000",0.0136,DIVIDEND,0,100,100,60.00
64,601088,中国神华,FAIL,-0.1098,0.0022,"17,363,000,000",0.0000,DIVIDEND,0,100,100,60.00
65,601166,兴业银行,FAIL,-27.7000,-2.3266,"63,705,000,000",0.0316,DIVIDEND,0,100,100,60.00
66,601169,北京银行,FAIL,-41.2318,-5.7089,"63,864,000,000",0.0009,DIVIDEND,0,100,100,60.00
67,601211,国泰海通,FAIL,-5.1174,1.6336,"53,893,855,683",0.0078,DIVIDEND,0,100,100,60.00
68,601225,陕西煤业,FAIL,-0.2546,0.0692,"9,677,280,198",0.0000,DIVIDEND,0,100,100,60.00
69,601288,农业银行,FAIL,-20.4448,-1.1989,"1,177,834,000,000",0.0059,DIVIDEND,0,100,100,60.00
70,601298,青岛港,FAIL,-0.0412,0.1918,"1,102,025,880",0.0000,DIVIDEND,0,100,100,60.00
71,601318,中国平安,FAIL,-11.9505,0.4689,"129,672,000,000",0.0106,DIVIDEND,0,100,100,60.00
72,601319,中国人保,FAIL,-5.0813,0.0821,"15,251,000,000",0.0064,DIVIDEND,0,100,100,60.00
73,601328,交通银行,FAIL,-25.2123,-1.1042,"108,879,000,000",0.0866,DIVIDEND,0,100,100,60.00
74,601336,新华保险,FAIL,-8.8695,0.1894,"36,106,000,000",0.0056,DIVIDEND,0,100,100,60.00
75,601377,兴业证券,FAIL,-4.0566,1.7096,"10,550,404,003",0.0036,DIVIDEND,0,100,100,60.00
76,601398,工商银行,FAIL,-19.9261,-0.7295,"1,411,772,000,000",0.0032,DIVIDEND,0,100,100,60.00
77,601601,中国太保,FAIL,-8.3856,0.2660,"60,662,000,000",0.0098,DIVIDEND,0,100,100,60.00
78,601658,邮储银行,FAIL,-30.7555,-0.4014,"306,208,000,000",0.0053,DIVIDEND,0,100,100,60.00
79,601688,华泰证券,FAIL,-4.5637,1.3631,"35,677,421,434",0.0064,DIVIDEND,0,100,100,60.00
80,601728,中国电信,FAIL,-0.5522,0.1303,"23,215,066,428",0.0000,DIVIDEND,0,100,100,60.00
81,601825,沪农商行,FAIL,-17.5511,-1.4526,"7,131,603,000",0.0206,DIVIDEND,0,100,100,60.00
82,601838,成都银行,FAIL,-17.2940,-2.4226,"69,534,613,000",0.0001,DIVIDEND,0,100,100,60.00
83,601857,中国石油,FAIL,-0.4468,0.0081,"84,472,000,000",0.0000,DIVIDEND,0,100,100,60.00
84,601881,中国银河,FAIL,-4.4589,1.4184,"53,646,305,535",0.0003,DIVIDEND,0,100,100,60.00
85,601888,中国中免,FAIL,0.1095,0.2626,"3,890,593,864",0.0000,DIVIDEND,0,100,100,60.00
86,601898,中煤能源,FAIL,-0.3644,0.1667,"5,747,394,000",0.0000,DIVIDEND,0,100,100,60.00
87,601916,浙商银行,FAIL,-42.6105,-6.7559,"99,677,000,000",0.0172,DIVIDEND,0,100,100,60.00
88,601919,中远海控,FAIL,-0.2232,0.5754,"11,124,842,135",0.0000,DIVIDEND,0,100,100,60.00
89,601939,建设银行,FAIL,-16.8798,-0.9206,"591,710,000,000",0.0046,DIVIDEND,0,100,100,60.00
90,601988,中国银行,FAIL,-19.4823,-1.1411,"184,402,000,000",0.0602,DIVIDEND,0,100,100,60.00
91,601998,中信银行,FAIL,-20.7986,-2.4430,"178,227,000,000",0.0529,DIVIDEND,0,100,100,60.00
92,603195,公牛集团,FAIL,-0.0258,0.0456,"1,699,187,932",0.0000,DIVIDEND,0,100,100,60.00
93,603369,今世缘,FAIL,-0.0638,0.1682,"2,113,832,763",0.0000,DIVIDEND,0,100,100,60.00
94,605117,德业股份,FAIL,-0.0286,0.0276,"1,830,652,556",0.0000,DIVIDEND,0,100,100,60.00
95,605499,东鹏饮料,FAIL,-0.0138,0.0776,"452,489,461",0.0000,DIVIDEND,0,100,100,60.00
96,000100,TCL科技,FAIL,-2.4897,-1.2428,"11,394,756,856",0.0000,NONE,0,100,0,30.00
97,000166,申万宏源,FAIL,-3.9110,1.5297,"8,872,259,819",0.0070,NONE,0,100,0,30.00
98,000301,东方盛虹,FAIL,-1.7926,-1.0687,"3,534,458,412",0.0000,NONE,0,100,0,30.00
99,000425,徐工机械,FAIL,-0.7574,-0.0697,"2,151,953,235",0.0000,NONE,0,100,0,30.00
100,000625,长安汽车,FAIL,-0.7866,0.4411,"-11,647,333,683",N/A,DIVIDEND,0,0,100,30.00
101,000630,铜陵有色,FAIL,-0.5774,-0.2165,"6,631,544,270",0.0000,NONE,0,100,0,30.00
102,000725,京东方A,FAIL,-0.9973,-0.2759,"12,299,498,803",0.0000,NONE,0,100,0,30.00
103,000786,北新建材,FAIL,-0.1309,0.0438,"-605,585,967",N/A,DIVIDEND,0,0,100,30.00
104,000792,盐湖股份,FAIL,0.1036,0.1521,"3,085,047,417",0.0000,NONE,0,100,0,30.00
105,000807,云铝股份,FAIL,0.0046,0.0697,"3,397,294,148",0.0000,NONE,0,100,0,30.00
106,000858,五 粮 液,FAIL,0.1664,0.3685,"-2,535,371,232",N/A,DIVIDEND,0,0,100,30.00
107,000876,新 希 望,FAIL,-1.9684,-1.0498,"438,317,918",0.0000,NONE,0,100,0,30.00
108,000963,华东医药,FAIL,-0.1837,0.0322,"-852,335,763",N/A,DIVIDEND,0,0,100,30.00
109,000975,山金国际,FAIL,0.0273,0.0822,"2,489,948,596",0.0000,NONE,0,100,0,30.00
110,001391,国货航,FAIL,0.0355,0.0869,"794,522,377",0.0000,NONE,0,100,0,30.00
111,001979,招商蛇口,FAIL,-5.8068,-1.2352,"-3,770,704,389",N/A,DIVIDEND,0,0,100,30.00
112,002001,新和成,FAIL,-0.0251,0.0507,"1,683,660,103",0.0000,NONE,0,100,0,30.00
113,002050,三花智控,FAIL,-0.0095,0.0562,"1,105,790,187",0.0000,NONE,0,100,0,30.00
114,002074,国轩高科,FAIL,-1.2097,-0.3958,"155,281,143",0.0000,NONE,0,100,0,30.00
115,002236,大华股份,FAIL,-0.0920,0.1238,"-805,493,681",N/A,DIVIDEND,0,0,100,30.00
116,002252,上海莱士,FAIL,-0.0991,-0.0539,"160,571,677",0.0000,NONE,0,100,0,30.00
117,002311,海大集团,FAIL,-0.2847,0.0056,"24,332,528",0.0000,NONE,0,100,0,30.00
118,002352,顺丰控股,FAIL,-0.4716,-0.0448,"3,364,929,000",0.0000,NONE,0,100,0,30.00
119,002371,北方华创,FAIL,-0.0642,0.0092,"748,055,667",0.0000,NONE,0,100,0,30.00
120,002384,东山精密,FAIL,-0.0838,-0.0219,"1,126,672,373",0.0000,NONE,0,100,0,30.00
121,002415,海康威视,FAIL,0.0028,0.1268,"-2,220,444,411",N/A,DIVIDEND,0,0,100,30.00
122,002459,晶澳科技,FAIL,-1.6758,-0.3370,"204,152,285",0.0000,NONE,0,100,0,30.00
123,002460,赣锋锂业,FAIL,-0.3369,-0.1128,"786,537,076",0.0000,NONE,0,100,0,30.00
124,002463,沪电股份,FAIL,-0.0581,-0.0066,"511,016,585",0.0000,NONE,0,100,0,30.00
125,002466,天齐锂业,FAIL,-0.1195,-0.0289,"259,113,724",0.0000,NONE,0,100,0,30.00
126,002493,荣盛石化,FAIL,-2.1758,-1.2855,"8,537,386,735",0.0000,NONE,0,100,0,30.00
127,002600,领益智造,FAIL,-0.2096,-0.0332,"792,495,296",0.0000,NONE,0,100,0,30.00
128,002625,光启技术,FAIL,0.0158,0.0415,"49,436,736",0.0000,NONE,0,100,0,30.00
129,002648,卫星化学,FAIL,-0.3163,0.0510,"2,210,957,284",0.0000,NONE,0,100,0,30.00
130,002714,牧原股份,FAIL,-0.3082,-0.1892,"-919,971,285",N/A,DIVIDEND,0,0,100,30.00
131,002916,深南电路,FAIL,-0.0685,-0.0089,"247,409,845",0.0000,NONE,0,100,0,30.00
132,002920,德赛西威,FAIL,-0.2095,0.0181,"1,115,825,726",0.0000,NONE,0,100,0,30.00
133,002938,鹏鼎控股,FAIL,-0.0082,0.0373,"3,096,604,207",0.0000,NONE,0,100,0,30.00
134,003816,中国广核,FAIL,-1.3441,-0.9774,"3,477,521,981",0.0000,NONE,0,100,0,30.00
135,300015,爱尔眼科,FAIL,-0.0690,0.0333,"1,708,202,556",0.0000,NONE,0,100,0,30.00
136,300033,同花顺,FAIL,0.0298,0.0920,"838,823,501",0.0000,NONE,0,100,0,30.00
137,300059,东方财富,FAIL,-0.6273,0.3614,"30,433,494,444",0.0000,NONE,0,100,0,30.00
138,300122,智飞生物,FAIL,-0.3241,-0.1863,"278,069,295",0.0000,NONE,0,100,0,30.00
139,300124,汇川技术,FAIL,-0.1297,0.0133,"94,051,225",0.0000,NONE,0,100,0,30.00
140,300274,阳光电源,FAIL,-0.1263,0.0778,"1,208,404,186",0.0000,NONE,0,100,0,30.00
141,300308,中际旭创,FAIL,-0.0054,0.0097,"3,367,573,677",0.0000,NONE,0,100,0,30.00
142,300347,泰格医药,FAIL,-0.0513,0.0244,"317,703,776",0.0000,NONE,0,100,0,30.00
143,300394,天孚通信,FAIL,0.0065,0.0097,"182,277,065",0.0000,NONE,0,100,0,30.00
144,300408,三环集团,FAIL,-0.0035,0.0214,"156,685,303",0.0000,NONE,0,100,0,30.00
145,300418,昆仑万维,FAIL,-0.0528,0.0103,"89,324,143",0.0000,NONE,0,100,0,30.00
146,300433,蓝思科技,FAIL,-0.1011,0.0236,"2,013,962,152",0.0000,NONE,0,100,0,30.00
147,300442,润泽科技,FAIL,-0.1471,-0.0557,"1,315,853,369",0.0000,NONE,0,100,0,30.00
148,300476,胜宏科技,FAIL,-0.0529,-0.0122,"2,116,658,463",0.0000,NONE,0,100,0,30.00
149,300502,新易盛,FAIL,-0.0022,0.0131,"684,071,356",0.0000,NONE,0,100,0,30.00
150,300661,圣邦股份,FAIL,-0.0068,0.0111,"47,692,845",0.0000,NONE,0,100,0,30.00
151,300750,宁德时代,FAIL,-0.1531,0.1287,"33,680,852,000",0.0000,NONE,0,100,0,30.00
152,300759,康龙化成,FAIL,-0.1856,-0.0135,"604,439,917",0.0000,NONE,0,100,0,30.00
153,300803,指南针,FAIL,-0.0749,0.1691,"1,812,680,414",0.0000,NONE,0,100,0,30.00
154,300832,新产业,FAIL,0.0188,0.0369,"358,967,798",0.0000,NONE,0,100,0,30.00
155,300999,金龙鱼,FAIL,-0.5074,-0.2685,"4,165,024,000",0.0000,NONE,0,100,0,30.00
156,302132,中航成飞,FAIL,-0.3784,0.1044,"2,309,923,488",0.0000,NONE,0,100,0,30.00
157,600009,上海机场,FAIL,-0.1307,0.2698,"660,423,050",0.0000,NONE,0,100,0,30.00
158,600011,华能国际,FAIL,-3.2651,-2.2272,"12,436,770,516",0.0000,NONE,0,100,0,30.00
159,600015,华夏银行,FAIL,-42.5837,-5.9811,"-42,588,000,000",N/A,DIVIDEND,0,0,100,30.00
160,600016,民生银行,FAIL,-45.1358,-5.6661,"-3,473,000,000",N/A,DIVIDEND,0,0,100,30.00
161,600023,浙能电力,FAIL,-0.5954,-0.2831,"4,330,088,760",0.0000,NONE,0,100,0,30.00
162,600025,华能水电,FAIL,-0.7440,-0.5458,"3,753,111,951",0.0000,NONE,0,100,0,30.00
163,600026,中远海能,FAIL,-0.2339,-0.0920,"3,765,683,310",0.0000,NONE,0,100,0,30.00
164,600028,中国石化,FAIL,-1.7809,-0.2811,"-5,558,000,000",N/A,DIVIDEND,0,0,100,30.00
165,600029,南方航空,FAIL,-2.9013,-0.6681,"4,852,000,000",0.0000,NONE,0,100,0,30.00
166,600030,中信证券,FAIL,-3.6339,1.1590,"74,916,320,243",0.0033,NONE,0,100,0,30.00
167,600031,三一重工,FAIL,-0.2636,0.1026,"3,540,722,000",0.0000,NONE,0,100,0,30.00
168,600039,四川路桥,FAIL,-2.6272,-0.6254,"-3,291,857,467",N/A,DIVIDEND,0,0,100,30.00
169,600061,国投资本,FAIL,-5.1213,1.6943,"15,930,065,846",0.0000,NONE,0,100,0,30.00
170,600089,特变电工,FAIL,-0.7999,-0.1580,"527,405,267",0.0000,NONE,0,100,0,30.00
171,600115,中国东航,FAIL,-2.6827,-0.7843,"3,457,000,000",0.0000,NONE,0,100,0,30.00
172,600150,中国船舶,FAIL,-0.3860,0.4218,"8,151,528,825",0.0000,NONE,0,100,0,30.00
173,600160,巨化股份,FAIL,-0.1128,-0.0213,"941,112,187",0.0000,NONE,0,100,0,30.00
174,600176,中国巨石,FAIL,-0.1376,-0.0551,"221,173,113",0.0000,NONE,0,100,0,30.00
175,600183,生益科技,FAIL,-0.0618,-0.0102,"571,567,197",0.0000,NONE,0,100,0,30.00
176,600196,复星医药,FAIL,-0.7175,-0.2462,"1,148,597,788",0.0000,NONE,0,100,0,30.00
177,600233,圆通速递,FAIL,-0.1406,0.0215,"1,588,005,308",0.0000,NONE,0,100,0,30.00
178,600276,恒瑞医药,FAIL,0.0932,0.1131,"786,445,901",0.0000,NONE,0,100,0,30.00
179,600309,万华化学,FAIL,-0.6903,-0.2801,"6,856,917,191",0.0000,NONE,0,100,0,30.00
180,600346,恒力石化,FAIL,-1.1586,-0.7137,"4,546,285,471",0.0000,NONE,0,100,0,30.00
181,600362,江西铜业,FAIL,-0.6702,-0.2903,"5,508,470,361",0.0000,NONE,0,100,0,30.00
182,600406,国电南瑞,FAIL,-0.1548,0.0239,"-1,514,283,397",N/A,DIVIDEND,0,0,100,30.00
183,600415,小商品城,FAIL,-0.2012,0.0254,"62,032,695",0.0000,NONE,0,100,0,30.00
184,600436,片仔癀,FAIL,-0.0082,0.0130,"1,289,945,727",0.0000,NONE,0,100,0,30.00
185,600460,士兰微,FAIL,-0.1763,-0.0551,"24,682,050",0.0000,NONE,0,100,0,30.00
186,600482,中国动力,FAIL,-0.2014,0.5083,"1,455,456,503",0.0000,NONE,0,100,0,30.00
187,600547,山东黄金,FAIL,-0.6169,-0.2428,"6,095,416,233",0.0000,NONE,0,100,0,30.00
188,600584,长电科技,FAIL,-0.1539,0.0071,"1,778,902,234",0.0000,NONE,0,100,0,30.00
189,600760,中航沈飞,FAIL,-0.2431,0.1095,"6,318,922,433",0.0000,NONE,0,100,0,30.00
190,600893,航发动力,FAIL,-0.5536,-0.1466,"3,367,392,776",0.0000,NONE,0,100,0,30.00
191,600905,三峡能源,FAIL,-2.3699,-1.4901,"3,881,181,706",0.0000,NONE,0,100,0,30.00
192,600918,中泰证券,FAIL,-2.6354,1.9672,"4,852,668,437",0.0139,NONE,0,100,0,30.00
193,600926,杭州银行,FAIL,-18.9307,-3.0633,"-36,945,446,000",N/A,DIVIDEND,0,0,100,30.00
194,600930,华电新能,FAIL,-1.4229,-1.0296,"5,940,603,220",0.0000,NONE,0,100,0,30.00
195,600989,宝丰能源,FAIL,-0.1793,-0.0723,"5,563,194,632",0.0000,NONE,0,100,0,30.00
196,601018,宁波港,FAIL,-0.3424,-0.0603,"-1,155,518,000",N/A,DIVIDEND,0,0,100,30.00
197,601021,春秋航空,FAIL,-0.4840,-0.1218,"1,640,386,391",0.0000,NONE,0,100,0,30.00
198,601059,信达证券,FAIL,-1.2261,0.5396,"2,227,990,861",0.0000,NONE,0,100,0,30.00
199,601066,中信建投,FAIL,-2.5127,1.2332,"30,975,280,078",0.0014,NONE,0,100,0,30.00
200,601100,恒立液压,FAIL,0.0282,0.0576,"517,796,421",0.0000,NONE,0,100,0,30.00
201,601111,中国国航,FAIL,-2.4451,-0.6755,"9,151,285,000",0.0000,NONE,0,100,0,30.00
202,601117,中国化学,FAIL,-2.7625,0.5143,"-1,329,107,992",N/A,DIVIDEND,0,0,100,30.00
203,601138,工业富联,FAIL,-0.1330,0.0147,"25,024,028,000",0.0000,NONE,0,100,0,30.00
204,601186,中国铁建,FAIL,-17.0631,-4.8977,"-62,576,016,000",N/A,DIVIDEND,0,0,100,30.00
205,601229,上海银行,FAIL,-23.1027,-4.1491,"-275,129,000",N/A,DIVIDEND,0,0,100,30.00
206,601236,红塔证券,FAIL,-0.8156,0.2561,"1,363,890,193",0.0021,NONE,0,100,0,30.00
207,601390,中国中铁,FAIL,-13.7399,-3.0872,"-86,427,712,000",N/A,DIVIDEND,0,0,100,30.00
208,601456,国联民生,FAIL,-2.6335,0.8240,"5,442,774,738",0.0144,NONE,0,100,0,30.00
209,601600,中国铝业,FAIL,-0.3685,-0.0393,"10,881,417,000",0.0000,NONE,0,100,0,30.00
210,601607,上海医药,FAIL,-1.8164,-0.3022,"-1,009,694,374",N/A,DIVIDEND,0,0,100,30.00
211,601618,中国中冶,FAIL,-9.2666,0.0786,"-25,065,173,000",N/A,DIVIDEND,0,0,100,30.00
212,601628,中国人寿,FAIL,-6.9693,0.1377,"174,810,000,000",0.0035,NONE,0,100,0,30.00
213,601633,长城汽车,FAIL,-0.6303,0.1132,"3,271,054,201",0.0000,NONE,0,100,0,30.00
214,601668,中国建筑,FAIL,-11.7868,-2.3130,"-76,986,745,000",N/A,DIVIDEND,0,0,100,30.00
215,601669,中国电建,FAIL,-10.0883,-3.9500,"-44,119,565,088",N/A,DIVIDEND,0,0,100,30.00
216,601689,拓普集团,FAIL,-0.1064,0.0079,"547,214,830",0.0000,NONE,0,100,0,30.00
217,601766,中国中车,FAIL,-1.6005,0.2647,"-9,084,455,000",N/A,DIVIDEND,0,0,100,30.00
218,601816,京沪高铁,FAIL,-0.1783,-0.1378,"4,423,061,145",0.0000,NONE,0,100,0,30.00
219,601818,光大银行,FAIL,-36.0485,-7.3282,"-37,141,000,000",N/A,DIVIDEND,0,0,100,30.00
220,601872,招商轮船,FAIL,-0.2427,-0.1290,"3,313,933,944",0.0000,NONE,0,100,0,30.00
221,601877,正泰电器,FAIL,-1.2253,-0.2585,"4,119,467,562",0.0000,NONE,0,100,0,30.00
222,601878,浙商证券,FAIL,-3.0105,1.5306,"6,747,902,794",0.0034,NONE,0,100,0,30.00
223,601899,紫金矿业,FAIL,-0.2163,-0.0656,"27,831,931,440",0.0000,NONE,0,100,0,30.00
224,601901,方正证券,FAIL,-2.8869,1.4973,"7,883,985,795",0.0010,NONE,0,100,0,30.00
225,601985,中国核电,FAIL,-2.7542,-2.1679,"8,130,955,167",0.0000,NONE,0,100,0,30.00
226,601995,中金公司,FAIL,-3.4952,1.0116,"25,800,294,572",0.0050,NONE,0,100,0,30.00
227,603259,药明康德,FAIL,0.0431,0.0913,"3,595,810,327",0.0000,NONE,0,100,0,30.00
228,603260,合盛硅业,FAIL,-0.9911,-0.3185,"1,262,069,364",0.0000,NONE,0,100,0,30.00
229,603288,海天味业,FAIL,0.0743,0.1004,"-467,096,320",N/A,DIVIDEND,0,0,100,30.00
230,603296,华勤技术,FAIL,-0.4835,-0.0560,"575,696,188",0.0000,NONE,0,100,0,30.00
231,603501,豪威集团,FAIL,0.0002,0.1013,"737,078,999",0.0000,NONE,0,100,0,30.00
232,603799,华友钴业,FAIL,-0.7974,-0.2576,"1,174,715,192",0.0000,NONE,0,100,0,30.00
233,603893,瑞芯微,FAIL,0.0019,0.0160,"382,507,658",0.0000,NONE,0,100,0,30.00
234,603986,兆易创新,FAIL,0.0473,0.0558,"1,783,057,279",0.0000,NONE,0,100,0,30.00
235,603993,洛阳钼业,FAIL,-0.1768,0.0292,"11,329,218,827",0.0000,NONE,0,100,0,30.00
236,688008,澜起科技,FAIL,0.0453,0.0481,"626,635,473",0.0000,NONE,0,100,0,30.00
237,688009,中国通号,FAIL,-0.8164,0.2521,"-1,391,918,143",N/A,DIVIDEND,0,0,100,30.00
238,688036,传音控股,FAIL,-0.2073,0.1346,"-4,093,949,879",N/A,DIVIDEND,0,0,100,30.00
239,688041,海光信息,FAIL,-0.0002,0.0067,"67,617,712",0.0000,NONE,0,100,0,30.00
240,688111,金山办公,FAIL,-0.0345,0.0092,"59,729,388",0.0000,NONE,0,100,0,30.00
241,688169,石头科技,FAIL,-0.1144,0.0302,"-393,750,409",N/A,DIVIDEND,0,0,100,30.00
242,688256,寒武纪,FAIL,-0.0015,0.0018,"833,967,832",0.0000,NONE,0,100,0,30.00
243,688396,华润微,FAIL,0.0384,0.1051,"627,349,544",0.0000,NONE,0,100,0,30.00
244,688981,中芯国际,FAIL,-0.0809,-0.0295,"5,131,729,000",0.0000,NONE,0,100,0,30.00
