排名,股票代码,股票名称,资产垫等级,保守资产垫比率,宽松资产垫比率,自由现金流(元),资本开支率,兑现路径,资产垫得分,经营安全得分,兑现安全得分,综合评分
1,000001,平安银行,FAIL,-25.7413,-2.5012,"37,630,000,000",0.0046,DIVIDEND,0,100,100,60.00
2,000157,中联重科,FAIL,-0.9990,-0.2047,"934,592,502",0.0000,DIVIDEND,0,100,100,60.00
3,000333,美的集团,FAIL,-0.4367,0.0636,"14,529,165,000",0.0000,DIVIDEND,0,100,100,60.00
4,000538,云南白药,FAIL,-0.0558,0.1003,"829,016,119",0.0000,DIVIDEND,0,100,100,60.00
5,000568,泸州老窖,FAIL,0.1154,0.1884,"4,543,022,746",0.0000,DIVIDEND,0,100,100,60.00
6,000596,古井贡酒,FAIL,0.0217,0.2726,"1,911,371,366",0.0000,DIVIDEND,0,100,100,60.00
7,000651,格力电器,FAIL,-0.4422,0.2495,"7,798,541,802",0.0000,DIVIDEND,0,100,100,60.00
8,000661,长春高新,FAIL,-0.0877,0.0204,"1,097,974,737",0.0000,DIVIDEND,0,100,100,60.00
9,000708,中信特钢,FAIL,-0.7200,-0.1968,"144,737,789",0.0000,DIVIDEND,0,100,100,60.00
10,000776,广发证券,FAIL,-4.6601,1.3238,"18,727,483,346",0.0103,DIVIDEND,0,100,100,60.00
11,000895,双汇发展,FAIL,-0.1626,-0.0807,"1,003,388,713",0.0000,DIVIDEND,0,100,100,60.00
12,000983,山西焦煤,FAIL,-1.3236,-0.3463,"548,861,081",0.0000,DIVIDEND,0,100,100,60.00
13,000999,华润三九,FAIL,-0.3636,-0.0435,"1,056,054,994",0.0000,DIVIDEND,0,100,100,60.00
14,001965,招商公路,FAIL,-0.8932,-0.5667,"1,220,864,216",0.0000,DIVIDEND,0,100,100,60.00
15,002027,分众传媒,FAIL,-0.0177,0.0427,"2,138,751,358",0.0000,DIVIDEND,0,100,100,60.00
16,002142,宁波银行,FAIL,-17.1243,-2.2917,"59,316,000,000",0.0085,DIVIDEND,0,100,100,60.00
17,002304,洋河股份,FAIL,0.0289,0.1852,"1,938,711,724",0.0000,DIVIDEND,0,100,100,60.00
18,002422,科伦药业,FAIL,-0.0990,0.0770,"249,611,317",0.0000,DIVIDEND,0,100,100,60.00
19,002594,比亚迪,FAIL,-0.6426,-0.0639,"2,790,305,000",0.0000,DIVIDEND,0,100,100,60.00
20,002601,龙佰集团,FAIL,-0.6730,-0.2461,"443,692,445",0.0000,DIVIDEND,0,100,100,60.00
